Timestamp, Temperature (ºC), Error,  Output power (W), PWM output, Current, PWM / Current
18:35:51.558 -> 31.47, -1.47, -27.02, 0, -0.00, 0.00
18:35:52.571 -> 31.47, -1.47, -26.43, 0, -0.00, 0.00
18:35:53.584 -> 31.47, -1.47, -26.43, 0, -0.00, 0.00
18:35:54.633 -> 31.47, -1.47, -26.42, 0, 0.04, 0.00
18:35:55.641 -> 31.47, -1.47, -26.42, 0, -0.00, 0.00
18:35:56.659 -> 31.47, -1.47, -26.41, 0, -0.00, 0.00
18:35:57.668 -> 31.48, -1.48, -26.65, 0, -0.00, 0.00
18:35:58.711 -> 31.47, -1.47, -26.31, 0, -0.00, 0.00
18:35:59.720 -> 31.47, -1.47, -26.39, 0, -0.00, 0.00
18:36:00.765 -> 31.47, -1.47, -26.39, 0, -0.00, 0.00
18:36:01.779 -> 31.48, -1.48, -26.62, 0, -0.00, 0.00
18:36:02.792 -> 31.53, -1.53, -27.91, 0, -0.00, 0.00
18:36:03.796 -> 31.54, -1.54, -27.82, 0, -0.00, 0.00
18:36:04.847 -> 31.57, -1.57, -28.32, 0, -0.00, 0.00
18:36:05.857 -> 31.55, -1.55, -27.59, 0, -0.00, 0.00
18:36:06.899 -> 31.57, -1.57, -28.25, 0, -0.00, 0.00
18:36:07.911 -> 31.57, -1.57, -28.07, 0, -0.00, 0.00
18:36:08.921 -> 31.57, -1.57, -28.06, 0, -0.00, 0.00
18:36:09.939 -> 31.57, -1.57, -28.06, 0, -0.00, 0.00
18:36:11.024 -> 31.57, -1.57, -28.05, 0, -0.00, 0.00
18:36:11.987 -> 31.57, -1.57, -28.04, 0, -0.00, 0.00
18:36:13.035 -> 31.57, -1.57, -28.04, 0, -0.00, 0.00
18:36:14.049 -> 31.57, -1.57, -28.03, 0, -0.00, 0.00
18:36:15.051 -> 31.57, -1.57, -28.03, 0, -0.00, 0.00
18:36:16.069 -> 31.57, -1.57, -28.02, 0, -0.00, 0.00
18:36:17.122 -> 31.57, -1.57, -28.01, 0, -0.00, 0.00
18:36:18.136 -> 31.61, -1.61, -29.31, 0, -0.00, 0.00
18:36:19.141 -> 31.63, -1.63, -29.24, 0, -0.00, 0.00
18:36:20.156 -> 31.64, -1.64, -29.42, 0, -0.00, 0.00
18:36:21.214 -> 31.64, -1.64, -29.46, 0, -0.00, 0.00
18:36:22.225 -> 31.66, -1.66, -29.88, 0, -0.00, 0.00
18:36:23.236 -> 31.66, -1.66, -29.70, 0, -0.00, 0.00
18:36:24.275 -> 31.66, -1.66, -29.70, 0, -0.00, 0.00
18:36:25.289 -> 31.66, -1.66, -29.69, 0, 0.04, 0.00
18:36:26.315 -> 31.66, -1.66, -29.68, 0, -0.00, 0.00
18:36:27.327 -> 31.66, -1.66, -29.68, 0, -0.00, 0.00
18:36:28.341 -> 31.66, -1.66, -29.67, 0, -0.00, 0.00
18:36:29.404 -> 31.66, -1.66, -29.66, 0, -0.00, 0.00
18:36:30.407 -> 31.66, -1.66, -29.66, 0, -0.00, 0.00
18:36:31.436 -> 31.66, -1.66, -29.65, 0, -0.00, 0.00
18:36:32.450 -> 31.66, -1.66, -29.64, 0, -0.00, 0.00
18:36:33.460 -> 31.66, -1.66, -29.64, 0, -0.00, 0.00
18:36:34.474 -> 31.66, -1.66, -29.71, 0, -0.00, 0.00
18:36:35.522 -> 31.68, -1.68, -30.00, 0, 0.04, 0.00
18:36:36.535 -> 31.70, -1.70, -30.45, 0, -0.00, 0.00
18:36:37.549 -> 31.71, -1.71, -30.56, 0, -0.00, 0.00
18:36:38.567 -> 31.71, -1.71, -30.44, 0, -0.00, 0.00
18:36:39.616 -> 31.72, -1.72, -30.68, 0, -0.00, 0.00
18:36:40.627 -> 31.73, -1.73, -30.99, 0, -0.00, 0.00
18:36:41.638 -> 31.76, -1.76, -31.57, 0, -0.00, 0.00
18:36:42.653 -> 31.74, -1.74, -30.73, 0, -0.00, 0.00
18:36:43.697 -> 31.75, -1.75, -31.17, 0, -0.00, 0.00
18:36:44.709 -> 31.76, -1.76, -31.41, 0, -0.00, 0.00
18:36:45.756 -> 31.76, -1.76, -31.28, 0, -0.00, 0.00
18:36:46.775 -> 31.76, -1.76, -31.28, 0, -0.00, 0.00
18:36:47.794 -> 31.76, -1.76, -31.27, 0, 0.04, 0.00
18:36:48.802 -> 31.76, -1.76, -31.26, 0, -0.00, 0.00
18:36:49.812 -> 31.76, -1.76, -31.26, 0, -0.00, 0.00
18:36:50.867 -> 31.76, -1.76, -31.25, 0, -0.00, 0.00
18:36:51.883 -> 31.76, -1.76, -31.24, 0, -0.00, 0.00
18:36:52.897 -> 31.76, -1.76, -31.23, 0, -0.00, 0.00
18:36:53.915 -> 31.76, -1.76, -31.23, 0, 0.04, 0.00
18:36:54.927 -> 31.76, -1.76, -31.22, 0, -0.00, 0.00
18:36:55.977 -> 31.76, -1.76, -31.21, 0, -0.00, 0.00
18:36:56.996 -> 31.76, -1.76, -31.21, 0, -0.00, 0.00
18:36:58.010 -> 31.76, -1.76, -31.20, 0, 0.04, 0.00
18:36:59.022 -> 31.76, -1.76, -31.19, 0, -0.00, 0.00
18:37:00.038 -> 31.76, -1.76, -31.18, 0, -0.00, 0.00
18:37:01.088 -> 31.76, -1.76, -31.18, 0, -0.00, 0.00
18:37:02.101 -> 31.76, -1.76, -31.17, 0, -0.00, 0.00
18:37:03.141 -> 31.76, -1.76, -31.16, 0, -0.00, 0.00
18:37:04.145 -> 31.76, -1.76, -31.16, 0, -0.00, 0.00
18:37:05.155 -> 31.76, -1.76, -31.15, 0, -0.00, 0.00
18:37:06.173 -> 31.76, -1.76, -31.14, 0, -0.00, 0.00
18:37:07.218 -> 31.76, -1.76, -31.14, 0, -0.00, 0.00
18:37:08.232 -> 31.76, -1.76, -31.13, 0, -0.00, 0.00
18:37:09.240 -> 31.76, -1.76, -31.12, 0, -0.00, 0.00
18:37:10.290 -> 31.76, -1.76, -31.11, 0, -0.00, 0.00
18:37:11.305 -> 31.76, -1.76, -31.11, 0, -0.00, 0.00
18:37:12.320 -> 31.76, -1.76, -31.10, 0, -0.00, 0.00
18:37:13.335 -> 31.76, -1.76, -31.09, 0, -0.00, 0.00
18:37:14.385 -> 31.76, -1.76, -31.09, 0, 0.04, 0.00
18:37:15.397 -> 31.76, -1.76, -31.08, 0, -0.00, 0.00
18:37:16.407 -> 31.76, -1.76, -31.07, 0, 0.04, 0.00
18:37:17.419 -> 31.76, -1.76, -31.07, 0, -0.00, 0.00
18:37:18.471 -> 31.76, -1.76, -31.06, 0, -0.00, 0.00
18:37:19.483 -> 31.76, -1.76, -31.05, 0, -0.00, 0.00
18:37:20.488 -> 31.76, -1.76, -31.04, 0, -0.00, 0.00
