final_actions_13_20200821-230117
const unsigned char q_actions[448] = {0, 0, 0, 224, 247, 0, 0, 0, 0, 0, 0, 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 239, 0, 0, 0, 0, 0, 239, 0, 0, 239, 0, 0, 0, 0, 0, 63, 0, 0, 225, 0, 0, 0, 0, 0, 234, 0, 0, 250, 0, 0, 0, 0, 0, 234, 0, 0, 250, 0, 0, 0, 0, 0, 234, 0, 0, 250, 0, 0, 0, 0, 0, 234, 0, 0, 250, 0, 0, 0, 0, 0, 243, 0, 0, 250, 0, 0, 0, 0, 0, 9, 0, 0, 250, 0, 0, 0, 0, 0, 237, 0, 0, 250, 0, 0, 0, 0, 0, 37, 0, 0, 250, 0, 0, 0, 0, 0, 151, 0, 0, 250, 0, 0, 0, 0, 0, 151, 0, 0, 250, 0, 0, 0, 0, 0, 151, 0, 0, 250, 0, 0, 0, 0, 0, 151, 0, 0, 250, 0, 0, 0, 0, 0, 147, 0, 0, 234, 0, 0, 0, 0, 0, 152, 0, 0, 234, 0, 0, 0, 0, 0, 78, 0, 0, 234, 0, 0, 0, 0, 0, 17, 0, 0, 234, 0, 0, 0, 0, 0, 30, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 3, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 109, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 109, 0, 0, 125, 0, 0, 0, 0, 0, 109, 0, 0, 125, 0, 0, 0, 0, 0, 109, 0, 0, 125, 0, 0, 0, 0, 0, 109, 0, 0, 125, 0, 0, 0, 0, 0, 218, 0, 0, 125, 0, 0, 0, 0, 0, 144, 0, 0, 34, 0, 0, 0, 0, 0, 50, 0, 0, 80, 0, 0, 0, 0, 0, 12, 0, 0, 203, 0, 0, 0, 0, 0, 86, 0, 0, 39, 0, 0, 0, 0, 0, 97, 0, 0, 26, 0, 0, 0, 0, 0, 203, 0, 0, 210, 0, 0, 0, 0, 0, 128, 0, 0, 84, 0, 0, 0, 0, 0, 175, 0, 0, 112, 0, 0, 0, 0, 0, 11, 0, 0, 68, 0, 0, 0, 0, 0, 67, 0, 0, 158, 0, 0, 0, 0, 0, 13, 0, 0, 37, 0, 0, 0, 0, 0, 18, 0, 0};

Timestamp, Temperature (ºC), Setpoint, Error, Velocity, Acceleration, State, PWM output, Current, PWM / Current
23:06:34.913, 22.17, 26.31, -4.14, -0.09, -0.09, 81, 0, 3.45, 0.00
23:06:35.924, 22.35, 26.31, -3.97, 0.17, 0.26, 100, 0, 0.04, 0.00
23:06:36.972, 22.35, 26.31, -3.97, 0.00, -0.17, 99, 0, 0.04, 0.00
23:06:37.996, 22.35, 26.31, -3.97, 0.00, 0.00, 94, 234, 0.34, 694.69
23:06:39.018, 22.26, 26.31, -4.05, -0.09, -0.09, 81, 0, 3.34, 0.00
23:06:40.038, 22.35, 26.31, -3.97, 0.09, 0.17, 99, 0, -0.00, 0.00
23:06:41.060, 22.43, 26.31, -3.88, 0.09, 0.00, 106, 250, 0.41, 606.85
23:06:42.065, 22.26, 26.31, -4.05, -0.17, -0.26, 107, 0, 3.49, 0.00
23:06:43.114, 22.43, 26.31, -3.88, 0.17, 0.35, 109, 0, -0.00, 0.00
23:06:44.131, 22.43, 26.31, -3.88, 0.00, -0.17, 108, 0, 0.04, 0.00
23:06:45.158, 22.43, 26.31, -3.88, 0.00, 0.00, 103, 234, 0.34, 694.69
23:06:46.177, 22.35, 26.31, -3.97, -0.09, -0.09, 90, 0, 2.89, 0.00
23:06:47.204, 22.43, 26.31, -3.88, 0.09, 0.17, 108, 0, -0.00, 0.00
23:06:48.230, 22.52, 26.31, -3.79, 0.09, 0.00, 115, 250, 0.04, 6875.58
23:06:49.229, 22.35, 26.31, -3.97, -0.17, -0.26, 116, 0, 3.53, 0.00
23:06:50.253, 22.52, 26.31, -3.79, 0.17, 0.35, 118, 0, 0.04, 0.00
23:06:51.289, 22.52, 26.31, -3.79, 0.00, -0.17, 117, 0, 0.04, 0.00
23:06:52.316, 22.52, 26.31, -3.79, 0.00, 0.00, 112, 243, 0.41, 589.86
23:06:53.336, 22.43, 26.31, -3.88, -0.09, -0.09, 99, 0, 3.42, 0.00
23:06:54.350, 22.60, 26.31, -3.71, 0.17, 0.26, 127, 0, -0.00, 0.00
23:06:55.394, 22.60, 26.31, -3.71, 0.00, -0.17, 126, 0, 0.04, 0.00
23:06:56.422, 22.60, 26.31, -3.71, 0.00, 0.00, 121, 9, 0.41, 21.85
23:06:57.424, 22.60, 26.31, -3.71, 0.00, 0.00, 121, 9, 0.07, 121.75
23:06:58.447, 22.69, 26.31, -3.62, 0.09, 0.09, 134, 0, 0.26, 0.00
23:06:59.474, 22.69, 26.31, -3.62, 0.00, -0.09, 129, 0, 0.04, 0.00
23:07:00.490, 22.69, 26.31, -3.62, 0.00, 0.00, 130, 237, 0.04, 6518.05
23:07:01.522, 22.60, 26.31, -3.71, -0.09, -0.09, 117, 0, 3.34, 0.00
23:07:02.550, 22.69, 26.31, -3.62, 0.09, 0.17, 135, 0, -0.00, 0.00
23:07:03.566, 22.69, 26.31, -3.62, 0.00, -0.09, 129, 0, -0.00, 0.00
