//action matrix for training simulation final_actions_11_2_20200821-001751
const unsigned char q_actions[150] = {0, 250, 241, 0, 232, 246, 0, 105, 240, 0, 244, 236, 0, 226, 235, 0, 241, 241, 0, 17, 234, 0, 241, 241, 0, 254, 248, 0, 246, 246, 0, 252, 252, 0, 225, 225, 0, 254, 249, 0, 136, 136, 0, 245, 245, 0, 252, 254, 0, 59, 236, 0, 165, 191, 0, 155, 252, 0, 253, 5, 0, 187, 190, 0, 199, 250, 0, 98, 216, 0, 188, 174, 0, 139, 195, 0, 165, 253, 0, 172, 172, 0, 226, 152, 0, 92, 50, 0, 80, 92, 0, 99, 234, 0, 117, 78, 0, 14, 14, 0, 112, 241, 0, 161, 63, 0, 115, 147, 0, 155, 155, 0, 4, 249, 0, 24, 91, 0, 152, 194, 0, 151, 151, 0, 11, 107, 0, 222, 11, 0, 161, 16, 0, 88, 161, 0, 116, 187, 0, 81, 81, 0, 110, 81, 0, 49, 12, 0, 110, 31};

00:22:29.084 -> Timestamp, Temperature (ºC), Setpoint, Error, Delta_T, State, PWM output, Current, PWM / Current
00:22:53.698 -> 22.78, 27.78, -5.00, 0.00, 1, 250, 3.57, 70.09
00:22:54.698 -> 22.78, 27.78, -5.00, 0.00, 1, 250, 3.53, 70.83
00:22:55.725 -> 22.78, 27.78, -5.00, 0.00, 1, 250, 3.60, 69.36
00:22:56.750 -> 22.78, 27.78, -5.00, 0.00, 1, 250, 3.57, 70.09
00:22:57.765 -> 22.86, 27.78, -4.91, 0.09, 5, 246, 3.53, 69.70
00:22:58.799 -> 22.86, 27.78, -4.91, 0.00, 4, 232, 3.57, 65.04
00:22:59.819 -> 22.86, 27.78, -4.91, 0.00, 4, 232, 3.38, 68.66
00:23:00.841 -> 22.86, 27.78, -4.91, 0.00, 4, 232, 3.12, 74.45
00:23:01.877 -> 22.95, 27.78, -4.83, 0.09, 8, 240, 3.53, 68.00
00:23:02.897 -> 22.95, 27.78, -4.83, 0.00, 7, 105, 3.45, 30.40
00:23:03.914 -> 22.95, 27.78, -4.83, 0.00, 7, 105, 2.40, 43.70
00:23:04.940 -> 23.04, 27.78, -4.74, 0.09, 11, 236, 1.73, 136.69
00:23:05.968 -> 23.04, 27.78, -4.74, 0.00, 10, 244, 3.53, 69.13
00:23:06.993 -> 23.04, 27.78, -4.74, 0.00, 10, 244, 3.53, 69.13
00:23:07.991 -> 23.04, 27.78, -4.74, 0.00, 10, 244, 3.49, 69.88
00:23:09.028 -> 23.04, 27.78, -4.74, 0.00, 10, 244, 3.42, 71.41
00:23:10.065 -> 23.12, 27.78, -4.65, 0.09, 11, 236, 3.57, 66.16
00:23:11.060 -> 23.12, 27.78, -4.65, 0.00, 10, 244, 3.45, 70.64
00:23:12.089 -> 23.12, 27.78, -4.65, 0.00, 10, 244, 3.42, 71.41
00:23:13.123 -> 23.12, 27.78, -4.65, 0.00, 10, 244, 3.57, 68.40
00:23:14.139 -> 23.21, 27.78, -4.57, 0.09, 14, 235, 3.53, 66.58
00:23:15.165 -> 23.21, 27.78, -4.57, 0.00, 13, 226, 3.30, 68.40
00:23:16.202 -> 23.21, 27.78, -4.57, 0.00, 13, 226, 2.97, 76.20
