// action matrix for training simulation 11_20200820-093404
const unsigned char q_actions[174] = {0, 254, 234, 0, 227, 246, 0, 252, 252, 0, 227, 250, 0, 252, 231, 0, 238, 238, 0, 234, 234, 0, 237, 237, 0, 230, 230, 0, 234, 234, 0, 91, 243, 0, 39, 39, 0, 86, 86, 0, 187, 54, 0, 225, 239, 0, 235, 240, 0, 203, 66, 0, 145, 39, 0, 193, 192, 0, 53, 125, 0, 96, 183, 0, 15, 240, 0, 116, 92, 0, 160, 196, 0, 214, 55, 0, 109, 119, 0, 29, 14, 0, 98, 152, 0, 63, 31, 0, 224, 148, 0, 170, 206, 0, 198, 254, 0, 249, 252, 0, 201, 190, 0, 166, 155, 0, 115, 108, 0, 122, 30, 0, 245, 66, 0, 14, 42, 0, 239, 175, 0, 37, 199, 0, 0, 147, 0, 151, 144, 0, 181, 203, 0, 18, 5, 0, 116, 174, 0, 10, 160, 0, 29, 159, 0, 159, 214, 0, 159, 57, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};


Timestamp, Temperature (ºC), Setpoint, Error, Delta_T, State, PWM output, Current, PWM / Current
10:34:20.241, 27.20, 27.69, -0.50, 0.09, 137, 174, 0.79, 220.93
10:34:21.260, 27.20, 27.69, -0.50, 0.00, 136, 116, 1.69, 68.68
10:34:22.291, 27.20, 27.69, -0.50, 0.00, 136, 116, 0.86, 134.46
10:34:23.288, 27.29, 27.69, -0.41, 0.09, 140, 160, 1.20, 133.25
10:34:24.308, 27.29, 27.69, -0.41, 0.00, 139, 10, 2.97, 3.37
10:34:25.333, 27.38, 27.69, -0.31, 0.09, 143, 159, 0.15, 1066.82
10:34:26.387, 27.38, 27.69, -0.31, 0.00, 142, 29, 3.08, 9.42
10:34:27.401, 27.38, 27.69, -0.31, 0.00, 142, 29, 0.64, 45.50
10:34:28.414, 27.47, 27.69, -0.22, 0.09, 146, 214, 0.90, 237.71
10:34:29.446, 27.47, 27.69, -0.22, 0.00, 145, 159, 2.67, 59.65
10:34:30.466, 27.47, 27.69, -0.22, 0.00, 145, 159, 2.93, 54.29
10:34:31.494, 27.56, 27.69, -0.13, 0.09, 149, 57, 3.08, 18.51
10:34:32.506, 27.65, 27.69, -0.04, 0.09, 152, 65, 1.28, 50.95
10:34:33.545, 27.65, 27.69, -0.04, 0.00, 151, 0, 1.69, 0.00
10:34:34.555, 27.65, 27.69, -0.04, 0.00, 151, 0, -0.00, 0.00
10:34:35.591, 27.74, 27.69, 0.05, 0.09, 152, 65, 0.04, 1787.65
10:34:36.625, 27.74, 27.69, 0.05, 0.00, 151, 0, 0.75, 0.00
10:34:37.642, 27.74, 27.69, 0.05, 0.00, 151, 0, -0.00, 0.00
10:34:38.634, 27.83, 27.69, 0.14, 0.09, 155, 0, -0.00, 0.00
10:34:39.668, 27.83, 27.69, 0.14, 0.00, 154, 0, 0.04, 0.00
10:34:40.709, 27.83, 27.69, 0.14, 0.00, 154, 0, -0.00, 0.00
10:34:41.731, 27.92, 27.69, 0.23, 0.09, 158, 0, 0.04, 0.00
10:34:42.747, 27.92, 27.69, 0.23, 0.00, 157, 0, -0.00, 0.00
10:34:43.773, 27.92, 27.69, 0.23, 0.00, 157, 0, -0.00, 0.00
10:34:44.785, 28.01, 27.69, 0.32, 0.09, 161, 0, -0.00, 0.00
10:34:45.810, 28.01, 27.69, 0.32, 0.00, 160, 0, -0.00, 0.00
10:34:46.826, 28.01, 27.69, 0.32, 0.00, 160, 0, 0.04, 0.00
10:34:47.856, 28.10, 27.69, 0.41, 0.09, 164, 1, 0.04, 27.50
10:34:48.888, 28.10, 27.69, 0.41, 0.00, 163, 1, 0.04, 27.50
10:34:49.898, 28.10, 27.69, 0.41, 0.00, 163, 1, 0.07, 13.53
10:34:50.934, 28.10, 27.69, 0.41, 0.00, 163, 1, 0.07, 13.53
10:34:51.967, 28.10, 27.69, 0.41, 0.00, 163, 1, 0.07, 13.53
10:34:52.981, 28.20, 27.69, 0.50, 0.09, 167, 1, 0.11, 8.97
10:34:54.003, 28.20, 27.69, 0.50, 0.00, 166, 1, 0.15, 6.71
10:34:55.026, 28.20, 27.69, 0.50, 0.00, 166, 1, -0.00, -833.67
10:34:56.061, 28.20, 27.69, 0.50, 0.00, 166, 1, 0.04, 27.50
10:34:57.067, 28.20, 27.69, 0.50, 0.00, 166, 1, 0.04, 27.50
10:34:58.085, 28.20, 27.69, 0.50, 0.00, 166, 1, 0.04, 27.50
10:34:59.106, 28.29, 27.69, 0.60, 0.09, 170, 1, 0.07, 13.53
10:35:00.124, 28.29, 27.69, 0.60, 0.00, 169, 1, 0.07, 13.53
10:35:01.164, 28.29, 27.69, 0.60, 0.00, 169, 1, 0.11, 8.97
10:35:02.194, 28.29, 27.69, 0.60, 0.00, 169, 1, 0.04, 27.50
10:35:03.204, 28.29, 27.69, 0.60, 0.00, 169, 1, -0.00, -833.67
10:35:04.217, 28.29, 27.69, 0.60, 0.00, 169, 1, 0.04, 27.50
10:35:05.251, 28.29, 27.69, 0.60, 0.00, 169, 1, 0.04, 27.50
10:35:06.278, 28.38, 27.69, 0.69, 0.09, 173, 1, 0.04, 27.50
10:35:07.313, 28.29, 27.69, 0.60, -0.09, 168, 1, 0.11, 8.97
10:35:08.339, 28.38, 27.69, 0.69, 0.09, 173, 1, 0.04, 27.50
10:35:09.336, 28.38, 27.69, 0.69, 0.00, 172, 1, 0.04, 27.50
10:35:10.383, 28.38, 27.69, 0.69, 0.00, 172, 1, 0.04, 27.50
10:35:11.405, 28.38, 27.69, 0.69, 0.00, 172, 1, 0.07, 13.53
10:35:12.412, 28.38, 27.69, 0.69, 0.00, 172, 1, 0.11, 8.97
10:35:13.427, 28.38, 27.69, 0.69, 0.00, 172, 1, 0.04, 27.50
10:35:14.473, 28.38, 27.69, 0.69, 0.00, 172, 1, -0.00, -833.67
10:35:15.498, 28.38, 27.69, 0.69, 0.00, 172, 1, 0.04, 27.50
10:35:16.518, 28.38, 27.69, 0.69, 0.00, 172, 1, 0.04, 27.50
10:35:17.522, 28.47, 27.69, 0.78, 0.09, 176, 0, 0.04, 0.00
10:35:18.548, 28.47, 27.69, 0.78, 0.00, 175, 0, -0.00, 0.00
10:35:19.589, 28.47, 27.69, 0.78, 0.00, 175, 0, -0.00, 0.00
10:35:20.613, 28.47, 27.69, 0.78, 0.00, 175, 0, 0.04, 0.00
10:35:21.632, 28.47, 27.69, 0.78, 0.00, 175, 0, -0.00, 0.00
10:35:22.643, 28.47, 27.69, 0.78, 0.00, 175, 0, -0.00, 0.00
10:35:23.659, 28.47, 27.69, 0.78, 0.00, 175, 0, -0.00, 0.00
10:35:24.710, 28.47, 27.69, 0.78, 0.00, 175, 0, 0.04, 0.00
10:35:25.733, 28.47, 27.69, 0.78, 0.00, 175, 0, -0.00, 0.00
10:35:26.739, 28.47, 27.69, 0.78, 0.00, 175, 0, -0.00, 0.00
10:35:27.753, 28.47, 27.69, 0.78, 0.00, 175, 0, -0.00, 0.00
10:35:28.793, 28.56, 27.69, 0.87, 0.09, 179, 0, -0.00, 0.00
10:35:29.796, 28.56, 27.69, 0.87, 0.00, 178, 0, -0.00, 0.00
